,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,1-Nov,2-Nov
Alabama,0,5,7,22,29,39,52,78,106,125,157,196,242,386,530,624,698,818,924,970,1080,1229,1477,1589,1776,1934,2113,2412,2740,2908,3149,3470,3680,3819,4098,4247,4408,4556,4723,4894,5121,5375,5611,5797,5980,6179,6291,6488,6629,6776,6985,7302,7578,7794,8102,8328,8657,8972,9258,9476,9741,10009,10230,10608,10870,11169,11263,11577,11852,12207,12739,5178,5617,5976,6469,7119,6094,6584,7066,7674,7917,8446,8726,8859,7044,7341,7995,8457,8863,9357,7805,8664,9529,10431,11462,12129,12769,10705,11594,12391,12931,13410,13848,14479,12543,13699,14681,15584,15948,17701,18564,19474,17413,19175,20188,21297,22237,23133,24305,22843,24163,25616,27276,29263,30961,28803,30839,32840,34998,36803,38710,40189,38833,41239,43021,45163,46329,48162,49434,47936,49922,51901,53531,55637,56868,57893,56310,58261,59977,61860,63027,64712,65507,62823,63599,64359,65649,66514,67067,68436,66403,67360,67670,69440,69975,71641,72169,70862,72629,73779,75466,76824,77641,79207,76697,77744,78846,80261,80779,81449,82092,79839,80990,82115,83057,84183,84895,85576,79504,80176,81273,82587,83398,84228,85027,82223,83293,85783,86721,87463,88136,88700,86478,87530,88498,90200,91002,91554,92310,93246,90484,91983,93051,93881,94626,95762,93520,94675,95877,97184,98165,99023,100050,100972,102347,103618,105971,107050,108017,109106,103790,105230,106559,108313,110007,110914
Alaska,0,1,1,1,1,3,6,9,12,14,22,32,36,42,59,68,83,100,112,116,130,140,148,166,164,170,178,187,179,184,186,198,184,178,178,181,172,158,157,151,152,130,119,121,113,115,118,114,106,94,101,95,97,98,85,76,73,62,63,45,43,39,39,38,35,39,42,44,41,40,36,38,40,40,41,39,38,49,54,56,82,89,106,124,127,134,146,152,169,173,190,202,210,239,238,235,235,246,258,253,267,268,258,264,273,291,303,319,348,365,400,436,468,509,551,574,598,607,646,684,718,770,847,902,920,945,988,1019,1069,1144,1219,1286,1360,1375,1430,1503,1687,1784,1871,1921,1970,2069,2182,2324,2370,2382,2407,2397,2449,2525,2608,2672,2642,2674,2755,2854,2924,2994,3031,3057,3093,3163,3142,3145,3150,3104,3028,2959,3019,3062,3135,3150,3182,3208,3240,3336,3450,3518,3602,3635,3654,3717,3830,3918,4004,4066,4141,4158,4202,4306,4400,4472,4565,4634,4490,4482,4609,4425,4350,4252,4148,3800,3711,3581,3529,3533,3643,3699,3729,3816,3897,4012,4235,4462,4640,4684,4783,4819,4878,4880,5060,5235,5284,5427,5599,5780,6128,6644,6990,7302,7604,7932,8307,8740,9082,9425
Arizona,8,8,11,12,17,19,26,44,77,106,149,231,318,392,497,649,755,899,1134,1262,1381,1563,1725,1964,2185,2371,2482,2626,2909,2995,3265,3384,3540,3635,3750,4014,4268,4472,4675,4807,3888,4075,4365,4624,4852,4868,5058,5237,5423,5853,6133,6493,6731,6986,7278,7588,7741,8194,8552,8646,8063,8322,8653,9044,9444,9878,10183,10410,10788,11076,11478,11759,12166,12465,12435,12390,12559,12724,13063,13474,13762,13516,14545,15478,15993,17556,18645,20081,20867,21462,22906,24157,25794,27295,28172,29049,31280,32970,35309,38514,41264,43664,45663,49049,50575,53401,56534,59813,63394,66220,68172,72657,75531,79592,81845,85061,87795,90907,93848,97292,100957,103385,105401,106325,110082,112765,115437,118756,120874,122714,123881,126902,128342,130144,132988,136189,137732,139202,140900,142825,144814,147602,150191,151638,152654,152716,154049,155114,156157,156807,157246,157521,158436,158678,159675,160269,160823,161449,161699,162364,162690,163125,163480,164207,164185,164302,164955,164829,165271,165557,165949,166092,166123,166457,166775,167622,168126,168761,168826,168879,168821,169139,169419,169763,170185,170373,170428,170770,171286,172870,173965,174416,174707,174827,175295,175533,175900,176216,176474,176743,176889,177554,177596,178127,178517,178998,179210,179525,180054,180469,181124,181615,182299,182706,183004,183564,184277,185177,185686,186390,186938,187514,188395,189175,189958,190711,191378,192547,193169,194062,194834,195865,197205,198808,200333,200568
Arkansas,6,9,12,16,22,22,33,62,97,119,167,200,224,272,326,366,385,399,477,488,541,632,663,662,737,786,790,838,837,867,875,905,1040,1044,1080,1059,1095,1024,1048,1162,1179,1491,1671,1841,1920,2009,2011,1900,1916,1929,1321,1362,1405,1410,1413,1451,1498,743,743,865,856,907,921,1052,1038,1073,1139,1137,1247,1115,1574,1550,1647,1743,1750,1818,1824,1924,1796,1815,1950,2143,2229,2325,2477,2548,3003,2986,3098,3191,3238,3451,3932,4232,4395,4573,4531,4612,4546,4917,5054,5105,5296,5461,5818,5957,5979,6060,6204,6219,6276,6063,6418,6506,6534,6741,6480,6733,5912,6130,6238,6761,6869,6933,6993,6882,7033,7096,7358,8064,7662,7502,7388,7536,7570,7052,7163,7249,7149,7191,7186,7261,7304,7404,7526,7545,7602,7634,7849,8000,8096,8051,7568,8274,6687,5837,6686,7244,7098,6659,6690,6444,6643,6557,6436,6313,6784,6207,6168,6333,6321,6518,6324,5895,5875,6208,6647,6739,7096,6974,6760,6478,6120,6651,5983,6037,5895,5867,5915,6104,6162,6561,6689,6711,6588,6782,7066,7254,7419,7332,7147,6965,7016,7251,7338,7346,7230,6931,6717,6695,7079,7477,7744,7810,7846,7752,8015,8432,8618,8818,8912,8666,8430,8528,8738,9138,9544,9775,9580,9500,9315,9478,9809,10198,10433,10149
California,231,276,348,414,546,692,830,989,1184,1368,1724,2098,2520,2940,3940,4701,5434,6080,7076,7512,8791,9802,11196,12490,13856,14809,16202,17474,18559,19641,20700,21664,22577,23925,24741,25453,26911,28355,29042,31260,31164,32750,34599,36059,37513,38676,40089,41165,43500,44981,46552,47743,48977,46501,48395,49110,50258,51770,53933,54514,55597,56682,58150,59467,61086,62768,64219,63998,65722,67544,68859,70283,72047,73847,75012,75516,76116,77668,79772,82532,85065,86921,89184,90867,89164,90407,92484,94999,95975,97686,98601,100520,103102,105586,107913,108980,111399,114051,116649,118967,122273,125448,129920,134364,137687,141729,144537,148253,153001,158250,162143,167951,175698,181951,189770,195242,199094,203690,209754,214838,220715,227382,234328,239807,246843,252745,259832,264968,271352,278607,282657,289290,287712,293386,298576,307105,311554,313567,316237,318207,316593,318956,324258,328840,322770,322674,322790,325488,326395,330887,335974,340028,345278,346184,348761,354954,361711,366519,366590,365027,368159,370031,371197,374276,377998,376759,377230,366009,365627,365935,367505,369971,368645,368775,369058,369362,369779,372610,374527,374926,372281,371156,371605,370645,373048,374643,373422,372123,372549,373744,374275,373735,375575,376763,377169,377617,379186,380221,381347,383047,382945,383750,384612,386201,387179,389169,391328,390295,391616,392715,394800,396262,398183,400068,400631,401711,402875,403375,402193,403855,406538,408157,412792,414014,416870,420542,422871,424662,425298,427681,429570,432183,434690,436869,439426,440873
Colorado,49,76,100,130,159,181,219,274,359,471,585,713,901,1067,1406,1703,2017,2260,2576,2897,3262,3631,4062,4439,4770,4982,5210,5422,5936,6220,6579,6973,7340,7496,7425,7803,8158,8524,8810,9159,9402,9811,10151,11025,11737,12202,12614,13021,13433,13948,14389,14834,15234,15497,15902,16350,16868,17308,17849,18173,18280,18453,18718,19052,18660,18950,19232,19487,19734,20007,20390,20672,21146,21351,21445,21491,21653,21978,22455,22583,22861,23001,23135,23387,23621,23828,24002,24155,24269,24390,24501,24576,24739,24890,24962,23498,23564,23758,23895,24094,24142,24022,24010,24150,24245,24390,23646,23524,23604,23802,23998,23697,23514,23261,23130,22794,22763,22844,22977,22993,23262,23661,23015,22944,22910,23126,23227,23323,23766,24120,24093,24581,24793,24889,25095,25485,26032,26256,26564,26768,26752,27341,27793,28242,28070,28491,29083,29530,29982,30413,29413,29266,29476,29791,30247,30560,30214,30552,30486,30447,30334,30367,30239,30334,30509,30430,30690,30540,30397,30337,30324,30319,30322,30407,30350,30364,30488,30668,30784,30834,30871,30969,31058,31166,31471,31727,31964,32131,32484,32653,33093,33505,33839,34192,34579,34884,35113,35592,35890,36265,36475,36695,36884,37304,37727,38188,38514,38575,38780,39102,39293,39719,40416,40913,41057,41599,41729,42256,43114,43895,44409,44986,45554,46198,46901,47430,48709,50176,51635,52583,53643,54833,56777,59245,61553,63361
Connecticut,5,11,23,26,41,68,95,157,190,190,218,405,606,856,991,1264,1491,1959,2535,3059,3476,3718,4799,5130,5459,6684,7496,8447,9414,10107,11042,11512,12822,13351,13927,14963,15831,16529,16904,18569,19027,21034,21576,22279,22848,23479,24125,24366,24746,25598,26589,27020,26961,27794,28169,28461,29178,29734,30254,30794,30966,28642,29085,26270,26830,27399,28052,28714,29008,29543,29683,30064,30053,30485,30845,31252,31203,30564,30727,30945,31094,31618,31851,31769,31900,32092,32436,32571,32683,32758,32904,32561,32303,32584,32664,32713,32750,32792,32622,32657,32751,32782,32736,32777,32537,32531,32564,32510,32358,32414,31604,31193,30572,30006,30006,30006,29435,28709,27869,27111,26438,26438,26438,26638,25836,25934,25330,24596,24596,24596,23888,23929,23211,22357,21875,21875,21875,22077,21244,21321,20652,20201,20201,20201,19765,19155,18895,18915,18611,18611,18611,17968,17078,17094,16317,16429,16429,16429,14904,14332,13799,13214,12604,12604,12604,12060,11667,11478,11169,10918,10918,10918,10672,10620,10474,10396,10014,10014,10014,10014,9740,9477,9547,9667,9667,9667,9889,9799,9629,9757,9748,9748,9748,9977,10065,10060,10178,10264,10264,10264,10618,10732,10802,10916,11410,11410,11410,11969,12015,12137,12516,12554,12554,12554,13665,13906,14066,14230,14817,14817,14817,15765,16051,16459,16959,17473,17473,17473,19335,19323,19804,21118,21668,21668,21668,24014
Delaware,4,4,6,7,8,16,26,31,38,40,56,68,104,119,129,159,200,217,249,287,308,332,365,508,588,697,768,938,1013,1117,1255,1377,1443,1564,1614,1645,1839,2005,2005,2178,2284,2512,2573,2639,2655,3003,3041,3342,3338,3307,3356,3324,3391,3390,3337,3577,3627,3670,3828,3686,3721,3702,3763,3883,3892,3894,3902,4027,4188,3919,3939,3911,4070,4187,3940,3929,3843,3917,3777,3856,3866,3884,3870,3895,3798,3754,3759,3752,3782,3722,3704,3691,3697,3694,3670,3745,3723,3762,3718,3783,3852,3881,3926,3789,3786,3827,3849,3919,4054,4204,4298,4325,4543,4719,4773,4876,5003,5085,5096,5113,5186,5224,5167,5223,5267,5293,5324,5501,5554,5641,5741,5859,5406,5502,5700,5635,5715,5792,5788,5913,5968,6024,6080,6129,6203,6247,6370,6413,6465,6496,6535,6543,6589,6622,6787,7134,7154,7187,7230,7251,7268,7314,7331,7305,7359,7366,7349,7315,7271,7377,7359,7421,7443,7511,7476,7533,7564,7643,7738,7793,7779,7779,7826,7901,8050,8157,8229,8354,8426,8506,8545,8571,8646,8664,8722,8758,8830,8937,8982,9070,9178,9297,9355,9503,9617,9732,9792,9838,9830,9830,9885,9940,10007,10046,10140,10147,10140,10175,10244,10350,10410,10417,10412,10370,10448,10516,10557,10637,10751,10717,10770,10856,10973,11055,11125,11226
District Of Columbia,10,10,10,18,22,22,31,37,68,74,96,135,181,228,264,249,287,341,435,435,433,468,569,708,718,815,869,1052,1098,1196,1284,1332,1396,1473,1595,1717,1817,1967,2075,2192,2350,2434,2574,2724,2882,3006,3048,3144,3241,3439,3761,3891,4099,4246,4391,4376,4544,4770,4912,5069,5180,5263,5300,5412,5528,5669,5717,5850,5994,6085,6315,6406,6470,6598,6705,6814,6881,6959,6998,7155,7219,7273,7279,7406,7507,7582,7648,7700,7755,7836,7895,7944,8005,8055,8109,8141,8143,8169,8221,8267,8287,8315,8341,8375,8405,8434,8453,8474,8499,8541,8506,8361,8371,8383,8367,8381,8401,8434,8453,8449,8472,8516,8542,8582,8604,8646,8659,8675,8739,8797,8851,8915,8975,8970,1486,1533,1592,1637,1698,1692,1696,1725,1804,1818,1834,1852,1841,1837,1882,1939,2006,2028,2071,2066,2069,2108,2110,2130,2155,2131,2158,2088,2095,2130,2174,2200,2195,2194,2203,2236,2274,2266,2280,2292,2258,2272,2278,2304,2313,2338,2337,2320,2298,2351,2375,2402,2414,2441,2435,2408,2431,2460,2506,2501,2514,2500,2529,2550,2562,2589,2587,2559,2544,2528,2542,2592,2589,2610,2671,2715,2700,2753,2790,2816,2846,2848,2867,2847,2883,2900,2928,2930,2919,2918,2916,2939,2996,3021,2991,3047,3053,3104,3150,3272,3374,3348
Florida,33,48,73,111,155,211,320,408,552,647,994,1209,1447,1954,2455,3152,3982,4890,5633,6656,7678,8878,10120,11380,12064,13318,14401,15331,16418,17519,18436,19336,19984,20506,21359,22131,23453,24175,24976,25676,26448,27099,28118,28949,29248,29922,30522,31151,31453,31903,32901,33591,34195,34999,35472,35970,36740,37044,37444,38038,38412,33265,33700,34180,35072,35443,36217,37052,37502,37988,39150,39886,40523,41264,42133,41762,41934,42545,43715,44614,44767,44787,45338,46344,47729,48992,49359,49864,50013,51062,52024,53684,54698,57292,58312,59754,61874,64180,66798,69992,72996,75691,78100,80620,85200,89699,98659,107594,116150,120868,125909,131572,140832,149676,160552,169864,175495,181803,191039,199193,209956,219769,234538,246565,255214,264887,278161,289262,297299,309248,319058,327647,336985,346757,358376,369990,378704,386962,395645,404169,413339,421251,430031,436376,440270,445050,449792,456199,463019,470726,476188,479798,484927,492529,498304,504261,510077,514142,514579,516843,519541,522762,526201,529496,531399,532283,533152,534405,534951,536757,538114,537978,537249,537257,535782,535222,534849,535536,534887,531275,528171,521156,513983,508956,506841,503253,498493,491472,484258,475967,468983,466197,461501,453331,446966,438107,430231,417626,407684,400550,391259,380493,370911,363200,353271,345660,338268,330006,322023,312190,303269,296767,300379,284231,276386,269091,262969,256590,252842,252086,249283,245646,241661,236062,233150,230511,230787,227484,222807,220930,218895,216686,218445,218050,219074,219746
