State,Gini Coefficient
Alabama,0.4847
Alaska,0.4081
Arizona,0.4713
Arkansas,0.4719
California,0.4899
Colorado,0.4586
Connecticut,0.4945
Delaware,0.4522
District Of Columbia,0.542
Florida,0.4852
Georgia,0.4813
Idaho,0.4503
Illinois,0.481
Indiana,0.4527
Iowa,0.4451
Kansas,0.455
Kentucky,0.4813
Louisiana,0.499
Maine,0.4519
Maryland,0.4499
Massachusetts,0.4786
Michigan,0.4695
Minnesota,0.4496
Mississippi,0.4828
Missouri,0.4646
Montana,0.4667
Nebraska,0.4477
Nevada,0.4577
New Hampshire,0.4304
New Jersey,0.4813
New Mexico,0.4769
New York,0.5229
North Carolina,0.478
North Dakota,0.4533
Ohio,0.468
Oklahoma,0.4645
Oregon,0.4583
Pennsylvania,0.4689
Rhode Island,0.4781
South Carolina,0.4735
South Dakota,0.4495
Tennessee,0.479
Texas,0.48
Utah,0.4063
Vermont,0.4539
Virginia,0.4705
Washington,0.4591
West Virginia,0.4711
Wisconsin,0.4498
Wyoming,0.436
